constellation,height,type,origin,destination,origin_name,destination_name,Mean latency there,Mean latency back,Min. RTT,Mean RTT,Max. RTT,Smp.std. RTT,Reply arrival
starlink,550,isls,1586,1589,Riyadh,Mexico-City,51.38 ms,51.38 ms,101.90 ms,102.76 ms,111.68 ms,0.68 ms,199898/200000 (100%)
kuiper,630,isls,1159,1165,Los-Angeles,Sidney,48.00 ms,48.00 ms,93.82 ms,96.00 ms,100.67 ms,1.87 ms,199906/200000 (100%)
kuiper,630,isls,1160,1157,New-York,Barcelona,25.22 ms,25.23 ms,49.06 ms,50.45 ms,51.98 ms,1.02 ms,199951/200000 (100%)
kuiper,630,isls,1156,1164,Madrid,Tokyo,43.61 ms,43.61 ms,85.44 ms,87.22 ms,90.74 ms,2.19 ms,199915/200000 (100%)
kuiper,630,isls,1158,1157,Riyadh,Barcelona,19.18 ms,19.18 ms,35.38 ms,38.36 ms,40.88 ms,0.94 ms,199962/200000 (100%)
starlink,550,isls,1592,1589,Tokyo,Mexico-City,43.77 ms,43.77 ms,83.75 ms,87.54 ms,92.25 ms,1.15 ms,199911/200000 (100%)
telesat,1015,isls,353,356,Riyadh,Mexico-City,54.88 ms,54.89 ms,109.23 ms,109.77 ms,110.36 ms,0.35 ms,199890/200000 (100%)
telesat,1015,isls,354,359,Los-Angeles,Tokyo,31.91 ms,31.91 ms,63.65 ms,63.82 ms,64.31 ms,0.18 ms,199937/200000 (100%)
telesat,1015,isls,359,357,Tokyo,Bogota,56.06 ms,56.06 ms,111.12 ms,112.13 ms,112.62 ms,0.59 ms,199889/200000 (100%)
starlink,550,isls,1584,1592,Madrid,Tokyo,51.44 ms,51.44 ms,98.92 ms,102.88 ms,110.09 ms,4.15 ms,199902/200000 (100%)
kuiper,630,isls,1163,1164,Cairo,Tokyo,38.37 ms,38.37 ms,74.25 ms,76.74 ms,79.82 ms,2.35 ms,199926/200000 (100%)
telesat,1015,isls,357,353,Bogota,Riyadh,53.59 ms,53.59 ms,105.47 ms,107.18 ms,110.13 ms,1.75 ms,199895/200000 (100%)
kuiper,630,isls,1157,1163,Barcelona,Cairo,13.28 ms,13.28 ms,23.98 ms,26.57 ms,29.79 ms,1.69 ms,199973/200000 (100%)
kuiper,630,isls,1165,1161,Sidney,Mexico-City,53.15 ms,53.15 ms,105.09 ms,106.31 ms,110.14 ms,1.52 ms,199895/200000 (100%)
starlink,550,isls,1589,1590,Mexico-City,Bogota,16.23 ms,16.23 ms,30.92 ms,32.46 ms,35.38 ms,1.35 ms,199965/200000 (100%)
starlink,550,isls,1587,1586,Los-Angeles,Riyadh,62.51 ms,62.51 ms,122.91 ms,125.02 ms,129.37 ms,2.25 ms,199876/200000 (100%)
starlink,550,isls,1590,1592,Bogota,Tokyo,54.12 ms,54.12 ms,104.60 ms,108.25 ms,114.28 ms,2.37 ms,199891/200000 (100%)
